Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bc18abcce4dc80a870729c,697aa79daefe12ddbfc7d0a6,REJECTED,Not Applicable,2026-03-19T15:39:32.902000Z,2026-03-19T15:48:07.125000Z,2026-03-21T10:41:05.589000Z,2026-03-21T12:13:50.645810Z,515.0,NOCODE,128,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc18b1d9302be0febd35df,6479eb3b78ad5220e39c7958,APPROVED,Not Applicable,2026-03-19T15:39:55.858000Z,2026-03-19T15:54:51.815000Z,2026-03-23T07:48:47.361000Z,2026-03-19T15:54:52.367152Z,896.0,ZXY3SYQ8VJ,449,31,Male,White,Israel,Israel,Israel,Hebrew,No,Full-Time
69bc18c93e7727c190c76ffa,6989f4760694ce91b5bc35f7,APPROVED,Not Applicable,2026-03-19T15:40:04.860000Z,2026-03-19T15:59:15.931000Z,2026-03-23T07:48:42.587000Z,2026-03-19T15:59:16.541127Z,1152.0,RNMMOJJ75T,203,24,Male,White,Egypt,Egypt,Egypt,Arabic,No,Part-Time
69bc18d36cbe40b54e0deb86,6994c0c96df19159622d6e63,APPROVED,Not Applicable,2026-03-19T15:40:07.356000Z,2026-03-19T16:01:17.026000Z,2026-03-23T07:49:05.168000Z,2026-03-19T16:01:17.610151Z,1270.0,820Y7ONICA,89,32,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
69bc18de018fc22a7147ac10,65959d6d25c5829c491c7fcd,APPROVED,Not Applicable,2026-03-19T15:40:17.785000Z,2026-03-19T15:48:12.199000Z,2026-03-23T07:49:23.876000Z,2026-03-19T15:48:12.712543Z,475.0,W7ZH3H5DS6,360,29,Female,White,Canada,Canada,Canada,French,No,Other
69bc18df4fca840fbc5aad3a,68cebdabd6724c0cbdd3d0ef,RETURNED,Not Applicable,,,,2026-03-21T12:13:50.644281Z,,,475,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc18edaa68d8f5e8870c82,67a54503a9d38ce3140394eb,APPROVED,Not Applicable,2026-03-19T15:41:36.779000Z,2026-03-19T15:55:27.688000Z,2026-03-23T07:49:06.158000Z,2026-03-19T15:55:28.237685Z,831.0,VMH680WT1U,1980,54,Female,White,Australia,United Kingdom,Australia,English,No,Full-Time
69bc190351f599aa36a89428,60c0c4333e49151d768bb35b,APPROVED,Not Applicable,2026-03-19T15:42:42.243000Z,2026-03-19T16:12:27.979000Z,2026-03-23T07:49:46.725000Z,2026-03-19T16:12:28.588895Z,1786.0,0HEHZRAOGD,1239,72,Female,White,Canada,Israel,Israel,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69bc193f0e84c535e8f53b39,698a4c90445203ef14f8e4bc,APPROVED,Not Applicable,2026-03-19T15:43:11.119000Z,2026-03-19T16:19:17.593000Z,2026-03-23T07:48:43.076000Z,2026-03-19T16:19:18.382197Z,2167.0,LOYEPDURL9,141,26,Male,Other,Egypt,Egypt,Egypt,Arabic,No,Full-Time
69bc19c2fcb6ff9a92b0428a,697a9deaf008f0b03c845ce3,APPROVED,Not Applicable,2026-03-19T15:49:51.664000Z,2026-03-19T16:14:16.768000Z,2026-03-23T07:49:13.407000Z,2026-03-19T16:14:17.408459Z,1466.0,402VWDVVDM,150,22,Female,White,Brazil,Brazil,Brazil,Portuguese,Yes,Full-Time
69bc19da80bf7c6fd4b85a52,5f6e72f4f0d70a3c02af4ee6,RETURNED,Not Applicable,2026-03-19T15:44:33.158000Z,,,2026-03-21T12:13:50.645078Z,,,1413,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc1a2f9e6febc8e6d0cbd6,697ce004a414418e49c8d32a,APPROVED,Not Applicable,2026-03-19T15:45:56.902000Z,2026-03-19T15:55:51.987000Z,2026-03-23T07:48:44.019000Z,2026-03-19T15:55:52.560162Z,596.0,Y5M99JBXL1,13,22,Male,Asian,India,India,India,English,Yes,Part-Time
69bc1a7f9999666c7f48608c,6981ffdcbe047b41a8cdb792,APPROVED,Not Applicable,2026-03-19T15:47:20.328000Z,2026-03-19T15:58:15.356000Z,2026-03-23T07:49:16.970000Z,2026-03-19T15:58:15.877753Z,656.0,9WXSIC8VY9,37,44,Female,White,Brazil,Brazil,Brazil,Portuguese,No,Unemployed (and job seeking)
