userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,shared_blk_read_time,shared_blk_write_time,local_blk_read_time,local_blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,stats_since,minmax_stats_since
56094673,56094656,t,,<insufficient privilege>,0,0,0,0,0,0,14708,290.4936920000009,0.0024619999999999998,10.982617,0.019750726951319072,0.1554732213901806,0,82122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-15 04:16:41.435329+00,2026-02-15 04:16:41.435329+00
45802638,45800982,t,,<insufficient privilege>,0,0,0,0,0,0,140,10.36345,0.050594,0.5808639999999999,0.07402464285714286,0.061048745187884945,59,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 02:21:45.788867+00,2026-03-16 02:21:45.788867+00
68515056,68512644,t,,<insufficient privilege>,0,0,0,0,0,0,1231484,269059.9777009886,0.001523,3746.447451,0.21848434709747636,7.471749754159967,1108934,194032376,495,0,5475,0,0,0,0,0,0,1144.605899,86.9136760000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-25 13:33:52.967609+00,2026-02-25 13:33:52.967609+00
69124060,69124029,t,,<insufficient privilege>,0,0,0,0,0,0,25708,1019.9461120000021,0.012962000000000001,17.192628000000003,0.03967426917690999,0.19179496540122132,25708,77114,10,0,0,0,0,0,0,0,0,8.490656999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-28 05:05:16.066758+00,2026-02-28 05:05:16.066758+00
69581979,69581957,t,,<insufficient privilege>,0,0,0,0,0,0,171,17.660904000000006,0.015766000000000002,6.320373,0.10328014035087722,0.5928049115977769,171,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 00:00:43.296327+00,2026-03-16 00:00:43.296327+00
15720190,15720129,t,,<insufficient privilege>,0,0,0,0,0,0,49911,1863.7690930000106,0.007254,18.095063,0.03734185035362967,0.3051914558846908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:54:19.395208+00,2026-02-13 10:54:19.395208+00
69797942,69797922,t,,<insufficient privilege>,0,0,0,0,0,0,186,5816.411141,14.399989,124.043742,31.271027639784943,16.977971931828325,0,615553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 04:58:13.2553+00,2026-03-16 04:58:13.2553+00
48762946,48759014,t,,<insufficient privilege>,0,0,0,0,0,0,2728,3156.0539679999915,0.040944,186.08460499999998,1.1569112785923723,7.0072803673453095,79112,68944,1984,0,0,0,0,0,0,0,0,2840.679717000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-26 12:35:31.868531+00,2026-02-26 12:35:31.868531+00
75012446,75012427,t,,<insufficient privilege>,0,0,0,0,0,0,1257,32.16785699999997,0.007887,1.67577,0.02559097613365153,0.09449434637908023,4539,4361,2,0,0,0,0,0,0,0,0,3.121771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-12 19:43:19.872441+00,2026-03-12 19:43:19.872441+00
69068743,69068718,t,,<insufficient privilege>,0,0,0,0,0,0,483,14.896824000000006,0.016696,1.0507229999999999,0.030842285714285725,0.058433669825508516,483,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 07:46:51.69375+00,2026-03-16 07:46:51.69375+00
58888726,58888702,t,,<insufficient privilege>,0,0,0,0,0,0,680,4722.480173,2.050985,112.007458,6.944823783823529,8.00400457244887,2028,1220282,280,0,0,0,0,0,0,0,0,228.53079899999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-12 07:02:21.4478+00,2026-03-12 07:02:21.4478+00
